,title,rating,pick_or_not,byline,headline,pub_date,open_date
1396,So Much So Fast,,0,JEANNETTE CATSOULIS,A Family's Struggle Against Fate,2006-10-11,
1397,Frankensteins Bloody Nightmare,,0,LAURA KERN,A Deranged Doctor in a Psychedelic Laboratory,2006-10-11,
1398,The Departed,R,1,MANOHLA DARGIS,"Scorsese’s Hall of Mirrors, Littered With Bloody Deceit",2006-10-06,2006-10-06
1399,1/3,,0,LAURA KERN,Opposites Threaten to Attract,2006-10-06,
1400,Kettle of Fish,R,0,NATHAN LEE,"A Scientist, a Saxophonist and the Mating Rituals of Frogs",2006-10-06,
1401,Black Gold,Not Rated,0,STEPHEN HOLDEN,"The Global Coffee Trade, a Bitter Brew for the Poor",2006-10-06,
1402,Tales of the Rat Fink,,0,JEANNETTE CATSOULIS,The Colorful History of the Hot Rod ,2006-10-06,
1403,Employee of the Month,PG-13,0,JEANNETTE CATSOULIS,Minimum-Wage Slackers in Love,2006-10-06,2006-10-06
1404,El Cortez,R,0,ANITA GATES,"Landing in Reno, Where Strange Is the Flavor of the Day",2006-10-06,
1405,The Texas Chainsaw Massacre: The Beginning,Not Rated,0,NATHAN LEE,The Saga of Leatherface and His Signature Power Tool,2006-10-06,2006-10-06
1406,49 Up,Not Rated,0,By A.O. SCOTT,Checking In on Britain’s Children of 1964,2006-10-05,
1407,Shortbus,Not Rated,1,MANOHLA DARGIS,Naughty and Nice in a Carnal Carnival,2006-10-04,2006-10-20
1408,...So Goes the Nation,Not Rated,1,JEANNETTE CATSOULIS,"A Look Back at 2004, When Ohio Was Up for Grabs",2006-10-04,
1409,"Blood, Tea and Red String",,0,NATHAN LEE,"A Dark Tale of White Mice, Sylvan Creatures and a Stolen Goddess",2006-10-04,2006-10-04
1410,Wrestling with Angels,,0,STEPHEN HOLDEN,The Artist as Empath and Public Intellectual,2006-10-04,
1411,A Guide to Recognizing Your Saints,R,1,A. O. SCOTT,The Old Neighborhood Never Looked So Grim,2006-09-29,2006-10-13
1412,The Queen,PG-13,1,MANOHLA DARGIS,"However Heavy It Gets, Wear a Crown Lightly",2006-09-29,2006-11-17
1413,Little Children,R,1,A. O. SCOTT,"Playground Rules: No Hitting, No Sex",2006-09-29,2007-02-09
1414,Be With Me,,0,STEPHEN HOLDEN,Three Tales Revolving Around a Real Life,2006-09-29,
1415,Broken Sky,PG-13,0,NATHAN LEE,"In an Epic of Nonverbal Desire, It Is the Details That Matter",2006-09-29,2006-09-29
1416,Open Season,PG,0,LAURA KERN,An Oddball Army in a Cartoon Wilderness,2006-09-29,2006-09-29
1417,School for Scoundrels,PG-13,0,MANOHLA DARGIS,Sad Sacks Seek Instruction in the Ways of Courtship,2006-09-29,2006-09-29
1418,LoudQUIETloud: A Film about the Pixies,,0,NATHAN LEE,Celebrating the Triumphant Return of the Pixies,2006-09-29,
1419,The Latin Legends of Comedy,,0,NEIL GENZLINGER,On Stage and Off With Three Veterans of the Comedy Scene,2006-09-29,2006-10-10
1420,The Guardian,PG-13,0,By A.O. SCOTT,"Costner Is Back in the Water, and He’s Stoically Swimming to Save Everybody",2006-09-29,2006-09-29
1421,The Last King of Scotland,R,0,MANOHLA DARGIS,"An Innocent Abroad, Seduced by a Madman",2006-09-27,2007-01-19
1422,The Science of Sleep,R,1,By A.O. SCOTT,"A Parisian Love Story in Forward, and Sideways, Motion",2006-09-22,2006-09-29
1423,Jackass: Number Two,R,1,NATHAN LEE,The Joy of Self-Inflicted Trauma,2006-09-22,2006-09-22
1424,Jesus Camp,PG-13,1,STEPHEN HOLDEN,Children’s Boot Camp for the Culture Wars,2006-09-22,
1425,American Blackout,,1,JEANNETTE CATSOULIS,Anger and Irregularities at the Voting Booth,2006-09-22,
1426,Train Man: Densha Otoko,,0,JEANNETTE CATSOULIS,The Minutia of Anime vs. the Lure of Love,2006-09-22,
1427,Renaissance,R,0,STEPHEN HOLDEN,"Even in a Place Like Paris, It’s Not Good to Live Forever",2006-09-22,
1428,All The King's Men,PG-13,0,By A.O. SCOTT,Southern Fried Demagogue and His Lurid Downfall,2006-09-22,2006-09-22
1429,Los Lonely Boys: Cottonfields and Crossroads,PG,0,NEIL GENZLINGER,An Inside Look at a Band on the Rise,2006-09-22,
1430,They're Just My Friends,R,0,LAURA KERN,"A Boxer's Rise and Fall, With the Usual Stops in Between",2006-09-22,2006-04-28
1431,Flyboys,PG-13,0,NATHAN LEE,Volunteers in Unfriendly Skies,2006-09-22,2006-09-22
1432,Jet Li's Fearless,PG-13,0,NATHAN LEE,"Exile, Rehabilitation and Redemption for a Chinese Freedom Fighter",2006-09-22,2006-09-22
1433,The Decay of Fiction,,0,STEPHEN HOLDEN,A Monument Crumbling With All Its Dark Secrets,2006-09-22,
1434,The Blossoming of Maximo Oliveros,,0,NATHAN LEE,Floating Above the Slums of Manila on a Current of Love,2006-09-22,
1435,American Hardcore,R,0,STEPHEN HOLDEN,It Was Loud. It Was Fast. But What Did It Mean?,2006-09-21,
1436,Old Joy,Not Rated,1,MANOHLA DARGIS,A Journey Through Forests and a Sense of Regret,2006-09-20,
1437,Solo Con Tu Pareja,Not Rated,0,A. O. SCOTT,A Bedroom Farce With Mortality Hiding in the Closet,2006-09-20,
1438,Home,,0,JEANNETTE CATSOULIS,Complex Side Effects of Poverty,2006-09-20,
1439,Artie Lange's Beer League,R,0,NEIL GENZLINGER,"Bad-News Bears? No, Slow-Pitch Sloths",2006-09-16,
1440,Vajra Sky Over Tibet,,0,NATHAN LEE,A Vacation Video From a Forbidden Land,2006-09-15,2006-09-01
1441,The Ground Truth,R,0,STEPHEN HOLDEN,The Broken Souls of Men Turned Into War Machines,2006-09-15,
1442,Keeping Mum,R,0,STEPHEN HOLDEN,Mary Poppins’s Dotty Doppelgänger,2006-09-15,2006-10-06
1443,The U.S. vs. John Lennon,PG-13,0,A. O. SCOTT,Lennon as Superior to Nixon,2006-09-15,
1444,The Last Kiss,R,0,A. O. SCOTT,"Your Girlfriend Is Pregnant, You’re Wandering Astray, and Worse, 30 Is Near",2006-09-15,2006-09-15
1445,Everyone's Hero,G,0,JEANNETTE CATSOULIS,A Good Deed for the Sultan of Swat,2006-09-15,2006-09-15
1446,Haven,R,0,NATHAN LEE,Plots and Personalities Collide on a Tropical Island,2006-09-15,
1447,Gridiron Gang,PG-13,0,JEANNETTE CATSOULIS,Seeking Rehabilitation in the End Zone,2006-09-15,2006-09-15
1448,The Black Dahlia,R,0,MANOHLA DARGIS,"In a Noir Los Angeles, Murder Most Lurid",2006-09-15,2006-09-15
1449,Confetti,R,0,STEPHEN HOLDEN,When the Marital Becomes the Martial,2006-09-15,
1450,Checking Out,PG-13,0,JEANNETTE CATSOULIS,Family Drama at a Father's Final Curtain Call ,2006-09-15,2006-12-19
1451,Aurora Borealis,R,0,NATHAN LEE,The Cure for a Cold Heart,2006-09-15,
1452,Al Franken: God Spoke,,0,A. O. SCOTT,"Comedian Turned Activist, With His Own Campaign",2006-09-13,
1453,The Covenant,PG-13,0,NATHAN LEE,What’s the 411 on Those Witch Guys?,2006-09-09,2006-09-08
1454,Iraq for Sale: The War Profiteers,,1,JEANNETTE CATSOULIS,Deep Pockets in Iraq,2006-09-08,
1455,Man Push Cart,,1,STEPHEN HOLDEN,"Sisyphus, Making It Work on the Streets of New York",2006-09-08,
1456,I Trust You to Kill Me,R,0,A. O. SCOTT,Struggling Rock Band With Megawatt Manager,2006-09-08,
1457,Sherrybaby,Not Rated,0,By A. O .SCOTT,"Mother Needing Her Child, Trying Not to Need Heroin",2006-09-08,
1458,Rolling Family,Not Rated,0,STEPHEN HOLDEN,"Road Trip With Family, Latin Version",2006-09-08,
1459,The Protector,R,0,NATHAN LEE,Going Down Under to Save a Sacred Baby Elephant,2006-09-08,2006-09-08
1460,The Young Lieutenant,Not Rated,0,MANOHLA DARGIS,"A Cop Confronts Some Hard Cases, Including His Own Boss",2006-09-08,
1461,Hollywoodland,R,0,MANOHLA DARGIS,The Quiet Desperation of Superman,2006-09-08,2006-09-08
1462,Red Doors,R,0,STEPHEN HOLDEN,"Cultural and Generational Clashes, Played Out for Laughs in the Suburbs",2006-09-08,2006-09-08
1463,Saint of 9/11,,0,STEPHEN HOLDEN,"The Gentle Life of a Priest, Made Famous in Death",2006-09-06,
1464,Paper Dolls,,0,A. O. SCOTT,"In Search of a Better Life, and a Place to Be Accepted",2006-09-06,
1465,A Cantor's Tale,,0,JEANNETTE CATSOULIS,"When Cantors Were Stars, Just Like the Ballplayers",2006-09-06,
1466,The Wicker Man,PG-13,0,A. O. SCOTT,Learning All About the Girls and the Bees,2006-09-02,2006-09-01
1467,Crank,R,0,NATHAN LEE,"Gore, Gimmicks and a Hero With a Literal Rage to Live",2006-09-02,2006-09-01
1468,Andy Warhol: A Documentary Film,,1,STEPHEN HOLDEN,"A Portrait of the Artist as a Visionary, a Voyeur and a Brand-Name Star",2006-09-01,2006-09-20
1469,This Film is Not Yet Rated,Not Rated,1,A. O. SCOTT,"Some Material May Be Inappropriate or Mystifying, and the Rating May Be as Well",2006-09-01,
1470,Mutual Appreciation,Not Rated,1,MANOHLA DARGIS,When ‘In Search Of’ Is Not a Phrase in the Ads,2006-09-01,
1471,Lassie,PG,1,JEANNETTE CATSOULIS,The Noblest Collie of All Bounds Anew in the Glen,2006-09-01,2006-09-01
1472,Riding Alone for Thousands of Miles,PG,0,NATHAN LEE,"Searching China, Heart on Sleeve",2006-09-01,
1473,Looking For Kitty,R,0,LAURA KERN,Letting Go Is the Hard Part,2006-09-01,
1474,Crossover,PG-13,0,NATHAN LEE,"On the Detroit Streets, Friends Strive for More Than Baskets",2006-09-01,2006-09-01
1475,How to Eat Fried Worms,PG,0,MANOHLA DARGIS,The Organic Snack That Builds Character,2006-08-25,2006-08-25
1476,Suicide Killers,,0,NATHAN LEE,The Faces of Radical Islamic Martyrdom,2006-08-25,
1477,The Quiet,R,0,MANOHLA DARGIS,"The Best of Friends, Until the Bloody End",2006-08-25,
1478,Queens,R,0,JEANNETTE CATSOULIS,A Tale of Wedding Plans and Mothers Who Disrupt Them,2006-08-25,
1479,Invincible,PG,0,JEANNETTE CATSOULIS,An Unlikely Rookie With a Gridiron Dream,2006-08-25,2006-08-25
1480,Idlewild,R,0,MANOHLA DARGIS,"Trust Me, Baby, the Joint Is Jumping and Singing",2006-08-25,2006-08-25
1481,Surviving Eden,,0,STEPHEN HOLDEN,Adam and Eve in Search of a Million-Dollar Payday,2006-08-25,
1482,Beerfest,R,0,JEANNETTE CATSOULIS,Guzzling Brew to Protect the Family Name,2006-08-25,2006-08-25
1483,LOL,,0,NATHAN LEE,"Logging On for Love, Tuning Out the Realities",2006-08-23,
1484,Princesas,,0,NATHAN LEE,Working Girls With Dreams Beyond the Corner,2006-08-23,
1485,Fratricide,,0,MANOHLA DARGIS,Escaping the Violence but Finding New Danger,2006-08-23,
1486,Snakes on a Plane,R,0,MANOHLA DARGIS,‘Snakes on a Plane’: That’s No Seat Belt Around Your Waist,2006-08-19,2006-08-18
1487,Material Girls,PG,0,MANOHLA DARGIS,"In ‘Material Girls,’ Those Daffy Duff Sisters Play Rich, Daffy ... Sisters",2006-08-19,2006-08-18
1488,The Illusionist,PG-13,1,STEPHEN HOLDEN,'The Illusionist': How Does a Man of Mystery Survive? It’s Magic,2006-08-18,2006-09-01
1489,Factotum,R,1,MANOHLA DARGIS,"On the Barstool Again, With One for His Muse, in ‘Factotum’",2006-08-18,
1490,10th and Wolf,R,0,STEPHEN HOLDEN,‘10th and Wolf’: Welcome Home From the War. Now Here’s an Offer You Can’t Refuse.,2006-08-18,
1491,Trust the Man,R,0,MANOHLA DARGIS,"‘Trust the Man’:  Two Couples Talk, Talk, Talk",2006-08-18,2006-09-01
1492,Pusher III: I'm the Angel of Death,Not Rated,0,NATHAN LEE,"Gangsters, Suckers and Murderous Megalomaniacs Populate 'The Pusher Trilogy'",2006-08-18,
1493,Poster Boy,R,0,JEANNETTE CATSOULIS,'Poster Boy' Sets a New Agenda for a Conservative Senator,2006-08-18,
1494,Moonlight,,0,JEANNETTE CATSOULIS,Children on the Run Are Bound by Blood in 'Moonlight',2006-08-18,
1495,King Leopold's Ghost,PG-13,0,MANOHLA DARGIS,'King Leopold’s Ghost' Recounts Tales of Unimaginable Terror,2006-08-18,
1496,Accepted,PG-13,0,NATHAN LEE,Adventures in Alternative Education in 'Accepted',2006-08-18,2006-08-18
1497,Rocky Road to Dublin,,0,NATHAN LEE,"Irish Independence in the 60’s, With Affection and Sarcasm, in ‘Rocky Road to Dublin’",2006-08-17,
1498,Zoom,PG,0,JEANNETTE CATSOULIS,Gifted Kids Band Together to Save Earth in 'Zoom',2006-08-12,2006-08-11
1499,Pulse,PG-13,0,NATHAN LEE,"In Creep-Out Film 'Pulse,' Teenagers Face Evil Screen Savers",2006-08-12,2006-08-11
1500,Kabhi Alvida Naa Kehna,R,0,NEIL GENZLINGER,"‘Kabhi Alvida Naa Kehna,’ a Bollywood Divorce Tale",2006-08-12,
1501,The House of Sand,R,1,A. O. SCOTT,"‘House of Sand’: A Mother, Her Daughter, and Brazil’s Bleak Yet Lovely Land",2006-08-11,
1502,Half Nelson,R,1,MANOHLA DARGIS,"In ‘Half Nelson,’ a Student Knows a Teacher’s Secret",2006-08-11,2006-09-22
1503,Step Up,PG-13,0,JEANNETTE CATSOULIS,Hip-Hop and Ballet Cross Paths in 'Step Up' ,2006-08-11,2006-08-11
1504,Hamilton,,0,JEANNETTE CATSOULIS,Scenes of Loneliness and Disconnect in 'Hamilton',2006-08-11,
1505,Conversations With Other Women,R,0,A. O. SCOTT,Contemplating a Fling Across a Divide in 'Conversations With Other Women',2006-08-11,
1506,The Celestine Prophecy,PG,0,MANOHLA DARGIS,Searching for a Spiritual Shangri La in 'The Celestine Prophecy',2006-08-11,
1507,The Ordeal,Not Rated,0,MANOHLA DARGIS,Violent Cretins Play a Game of Cat-and-Mouse in 'Calvaire' ,2006-08-11,
1508,The Beales of Grey Gardens,Not Rated,0,NATHAN LEE,'The Beales of Grey Gardens' Profiles Eccentrics in East Hampton,2006-08-11,
1509,World Trade Center,PG-13,1,A. O. SCOTT,Pinned Under the Weight of Skyscrapers and History in 'World Trade Center',2006-08-09,2006-08-09
1510,The Trouble With Men and Women,,0,STEPHEN HOLDEN,"A Man at 30, When Fuddy Meets Duddy, in 'The Trouble With Men and Women'",2006-08-09,
1511,Satellite,,0,STEPHEN HOLDEN,"Breaking All the Rules, 21st-Century Style, in ‘Satellite’",2006-08-09,
1512,Lunacy,,0,MANOHLA DARGIS,"In 'Lunacy,' a Degenerate Journey, and Many Moving Parts",2006-08-09,
1513,Quinceanera,R,1,STEPHEN HOLDEN,‘Quinceañera’: Turning Sweet 15 in Los Angeles’s Immigrant Stew,2006-08-04,
1514,The Descent,,1,MANOHLA DARGIS,"‘The Descent’: Six Women, a Dark Cave and Some Very Scary Monsters",2006-08-04,2006-08-04
1515,The Bridesmaid,,1,MANOHLA DARGIS,"In Claude Chabrol’s Film ‘The Bridesmaid,’ a Mama’s Boy Meets a Femme Fatale",2006-08-04,
1516,Talladega Nights: The Ballad of Ricky Bobby,PG-13,0,A. O. SCOTT,"‘Talladega Nights’: The Men Are Rowdy, the Cars Are Fast and the Product Placement Is Extreme",2006-08-04,2006-08-04
1517,Shock to the System,R,0,NATHAN LEE,A Gay Detective Goes Undercover in 'Shock to the System',2006-08-04,
1518,The Puffy Chair,R,0,A. O. SCOTT,‘The Puffy Chair’ Tells the Story of a Trip to Atlanta (and to Adulthood),2006-08-04,
1519,The Night Listener,R,0,A. O. SCOTT,"A Long-Distance Friendship, and Then It Gets Strange, in 'The Night Listener'",2006-08-04,2006-08-04
1520,Jailbait,R,0,LAURA KERN,'Jailbait': As Time Goes By,2006-08-04,
1521,"My Country, My Country",,0,JEANNETTE CATSOULIS,"Iraq Under a Microscope in 'My Country, My Country'",2006-08-04,2006-08-04
1522,The Boynton Beach Club,R,0,STEPHEN HOLDEN,‘Boynton Beach Club’ Has Crazy Mixed-Up Teenagers in Their 60’s,2006-08-04,2006-08-25
1523,Barnyard: The Original Party Animals,PG,0,MANOHLA DARGIS,Party Animals Take Over in 'Barnyard',2006-08-04,2006-08-04
1524,Vacationland,,0,NATHAN LEE,"‘Vacationland’ Depicts a Gay Man’s Path to College, With Lots of Excess",2006-08-02,
1525,Miami Vice,R,1,A. O. SCOTT,"‘Miami Vice’: Operatic Passions, Yet Cool in the Heat",2006-07-28,2006-07-28
1526,Scoop,PG-13,1,MANOHLA DARGIS,"‘Scoop’:  Shades of Nick and Nora, With Woody Allen’s Shtick",2006-07-28,2006-07-28
1527,13 (Tzameti),Not Rated,0,STEPHEN HOLDEN,"In '13 Tzameti,' the Sadistic Blood Lust of an Attempt to Get Rich Quick",2006-07-28,
1528,By The People,,0,NATHAN LEE,'By the People' Explores the Brute Facts of Election Day,2006-07-28,2006-10-03
1529,John Tucker Must Die,PG-13,0,JEANNETTE CATSOULIS,'John Tucker Must Die' Declares a Trio of Teenage Girlfriends,2006-07-28,2006-07-28
1530,I Like Killing Flies,R,0,MANOHLA DARGIS,‘I Like Killing Flies’: A Side of Salty Language for a Soup-to-Nuts Menu,2006-07-28,
1531,Brothers of the Head,Not Rated,0,STEPHEN HOLDEN,"‘Brothers of the Head’: Inseparable Rock Princes, as Real as an Air Guitar",2006-07-28,
1532,The Ant Bully,PG,0,A. O. SCOTT,"‘The Ant Bully,’ in Which the Bugs Sound Like Movie Stars",2006-07-28,2006-07-28
1533,Another Gay Movie,Not Rated,0,NATHAN LEE,Skewering the Status Quo in 'Another Gay Movie',2006-07-28,
1534,America: Freedom to Fascism,,0,NATHAN LEE,'America: Freedom to Fascism' Makes a Mess of the Mess We Are In,2006-07-28,
1535,Little Miss Sunshine,R,1,MANOHLA DARGIS,"'Little Miss Sunshine': You’re Either on the Family Bus, or You’re Off",2006-07-26,2006-08-18
1536,"The Photographer, His Wife, Her Lover",Not Rated,0,STEPHEN HOLDEN,"‘The Photographer, His Wife, Her Lover’ Explores a Marriage and the Art Market",2006-07-26,2006-07-28
1537,Darshan: The Embrace,,0,JEANNETTE CATSOULIS,"In ‘Darshan: The Embrace,’ a Portrait of India’s ‘Hugging Saint’",2006-07-26,
1538,Monster House,PG,1,A. O. SCOTT,"In ‘Monster House,’ It’s Home Creepy Home",2006-07-21,2006-07-21
1539,Lady in the Water,PG-13,0,MANOHLA DARGIS,Finding Magic Somewhere Under the Pool in 'Lady in the Water',2006-07-21,2006-07-21
1540,The World According to Shorts,,0,JEANNETTE CATSOULIS,Alternatives to the Multiplex in 'The World According to Shorts',2006-07-21,
1541,Been Rich All My Life,,0,STEPHEN HOLDEN,Dancing the Years Away in 'Been Rich All My Life',2006-07-21,
1542,My Super Ex-Girlfriend,PG-13,0,MANOHLA DARGIS,"In ‘My Super Ex-Girlfriend,’ Luke Wilson Is Just Not That Into Uma Thurman",2006-07-21,2006-07-21
1543,Clerks II,R,0,A. O. SCOTT,"‘Clerks II’: Aimless and Aging in Slacker Paradise, N.J.",2006-07-21,2006-07-21
1544,Boys Briefs 4,,0,NATHAN LEE,'Boys Briefs 4': Six Films About Male Prostitutes,2006-07-21,0000-00-00
1545,Shadowboxer,R,0,STEPHEN HOLDEN,"In ‘Shadowboxer,’ Murder Runs in the Family (and It’s a Turn-On in a Lover)",2006-07-21,
1546,Azumi,,0,MANOHLA DARGIS,"‘Azumi’ Offers Sharp Sword, Short Skirt and Blood",2006-07-21,
1547,Mad Cowgirl,,0,NATHAN LEE,‘Mad Cowgirl’ Features a Kung-Fu Killer on a Mission or a Woman Who Might Just Be Crazy,2006-07-19,
1548,Overlord,Not Rated,1,A. O. SCOTT,"‘Overlord': In Wartime, a Brave Diffidence",2006-07-14,
1549,The Oh in Ohio,Not Rated,1,NATHAN LEE,The Search for Satisfaction in 'The Oh in Ohio',2006-07-14,
1550,Gabrielle,,1,MANOHLA DARGIS,"In ‘Gabrielle,' It’s Getting Brutal for a Couple at Belle Époque’s Close ",2006-07-14,
1551,Changing Times,,1,STEPHEN HOLDEN,"In ‘Changing Times,’ a Decades-Long Love, Reunited but Unrequited",2006-07-14,
1552,Peaceful Warrior,PG-13,0,NATHAN LEE,Enlightenment Through Athletics in 'Peaceful Warrior',2006-07-14,2006-06-23
1553,Time To Leave,Not Rated,0,A. O. SCOTT,"‘Time to Leave’ Shows Loneliness, Generosity and Selfishness at the End of Life",2006-07-14,
1554,Mini's First Time,R,0,MANOHLA DARGIS,A Teenager Goes From Naughty to Worse in 'Mini’s First Time',2006-07-14,
1555,Little Man,PG-13,0,NATHAN LEE,"In 'Little Man,' a Jewel Thief Dons Diapers to Recover Lost Loot",2006-07-14,2006-07-14
1556,The Groomsmen,R,0,STEPHEN HOLDEN,"‘The Groomsmen’:  Growing Up Is Hard to Do, Especially When You’re 35",2006-07-14,
1557,71 Fragments of a Chronology of Chance,,0,MANOHLA DARGIS,"In '71 Fragments of a Chronology of Chance,' the Random, the Violent and the Complicit Bourgeois",2006-07-14,1995-10-26
1558,Edmond,R,0,STEPHEN HOLDEN,"In ‘Edmond,’ William H. Macy Is Desperate and Frustrated, and He Won’t Take It Anymore",2006-07-14,
1559,"You, Me and Dupree",PG-13,0,MANOHLA DARGIS,"‘You, Me and Dupree’: Guess Who’s Coming to Dinner (and Staying)?",2006-07-14,2006-07-14
1560,Two Sons of Francisco,,0,NEIL GENZLINGER,Child Stars and a Pushy Dad in 'Two Sons of Francisco',2006-07-13,
1561,The Color of Olives,,1,JEANNETTE CATSOULIS,‘The Color of Olives’: A Wall Runs Through It,2006-07-12,
1562,Excellent Cadavers,,1,A. O. SCOTT,"‘Excellent Cadavers,’ an Italian Documentary, Dissects the Mafia",2006-07-12,
1563,Heading South,Not Rated,1,STEPHEN HOLDEN,Laurent Cantet's 'Heading South' Shows the Ache of Blinding Lust in a Sexual Paradise Lost,2006-07-07,
1564,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,PG-13,1,JEANNETTE CATSOULIS,'Once in a Lifetime' Tells the Story of a Legendary Soccer Squad,2006-07-07,2006-07-07
1565,A Scanner Darkly,R,0,MANOHLA DARGIS,"'A Scanner Darkly': Keanu Reeves, Undercover and Flying High on a Paranoid Head Trip",2006-07-07,2006-07-28
1566,Pirates of the Caribbean: Dead Man's Chest,PG-13,0,A. O. SCOTT,"'Pirates of the Caribbean': Eat My Jetsam, Davy Jones",2006-07-07,2006-07-07
1567,Kill Your Idols,,0,MANOHLA DARGIS,"'Kill Your Idols' Presents Musicians From an Era When Downtown Meant Spit and Energy, Not Condos",2006-07-07,
1568,Guernsey,,0,NATHAN LEE,An Alienated Soul Wanders a European Wasteland in 'Guernsey',2006-07-07,
1569,Beowulf & Grendel,R,0,MANOHLA DARGIS,An Ancient Monster Rises Again in 'Beowulf & Grendel',2006-07-07,
1570,Urbanscapes,,0,NATHAN LEE,"'Urbanscapes,' a Documentary on the Decaying of Neighborhoods",2006-07-05,
1571,Twelve Disciples of Nelson Mandela,,0,JEANNETTE CATSOULIS,'Twelve Disciples of Nelson Mandela': Life of an Anti-Apartheid Exile From a Stepson's Point of View ,2006-07-05,
1572,The Great Yokai War,PG-13,0,A. O. SCOTT,A Motley Crew of Spirits Recruit a Boy to Be Savior in 'The Great Yokai War',2006-06-30,
1573,Say Uncle,R,0,JEANNETTE CATSOULIS,"In 'Say Uncle,' an Adult With an  Unhealthy Attachment to the Playground ",2006-06-30,
1574,Krrish,Not Rated,0,LAURA KERN,'Krrish' Tells the Further Adventures of a Bollywood Superhero,2006-06-30,
1575,The Devil Wears Prada,PG-13,0,A. O. SCOTT,"In 'The Devil Wears Prada,' Meryl Streep Plays the Terror of the Fashion World",2006-06-30,2006-06-30
1576,The Blood of My Brother: A Story of Death in Iraq,,0,NATHAN LEE,An Iraqi Boy in the Middle of a War in 'The Blood of My Brother' ,2006-06-30,
1577,Room,,1,NATHAN LEE,'Room' Explores a Woman's Psychic War on Terrorism,2006-06-28,
1578,Who Killed the Electric Car?,PG,1,MANOHLA DARGIS,'Who Killed the Electric Car?': Some Big Reasons the Electric Car Can't Cross the Road,2006-06-28,2006-08-04
1579,Rank,,0,STEPHEN HOLDEN,Bulls Remain a Rough Ride in 'Rank',2006-06-28,
1580,The Motel,,0,STEPHEN HOLDEN,A Chinese-American Boy Comes of Age in 'The Motel',2006-06-28,
1581,Strangers with Candy,R,0,A. O. SCOTT,"In 'Strangers With Candy,' Amy Sedaris's Jerri Blank Is Streetwise and Starting Over",2006-06-28,2006-07-21
1582,Superman Returns,PG-13,0,MANOHLA DARGIS,'Superman Returns' to Save Mankind From Its Sins,2006-06-27,2006-06-28
1583,Two Drifters,Not Rated,1,NATHAN LEE,A Love Triangle Like No Other in 'Two Drifters' ,2006-06-23,
1584,The Great New Wonderful,R,0,A. O. SCOTT,"Everything Is Different, but Life Goes On Anyway, in 'The Great New Wonderful'",2006-06-23,
1585,Wassup Rockers,R,0,STEPHEN HOLDEN,Skateboarders' Wild  Ride in Larry Clark's  'Wassup Rockers',2006-06-23,
1586,Waist Deep,R,0,By A.O. SCOTT,"In 'Waist Deep,' Daddy Love on a Rampage, With Melancholic Brio",2006-06-23,2006-06-23
1587,The Road To Guantanamo,R,0,A. O. SCOTT,'The Road to Guantánamo' Offers Grim Chronicles That Anger and Stir,2006-06-23,
1588,The Forsaken Land,Not Rated,0,MANOHLA DARGIS,'The Forsaken Land' Tells the Tale of Sri Lanka's Walking Wounded,2006-06-23,
1589,Click,PG-13,0,MANOHLA DARGIS,A Man-Child Who Has His World Under Control in 'Click',2006-06-23,2006-06-23
1590,The Hidden Blade,R,0,JEANNETTE CATSOULIS,Samurai Battle for Survival in 'The Hidden Blade',2006-06-23,
1591,The Garden of Earthly Delights,,0,NATHAN LEE,Asking the Great Questions While Lounging About Venice in 'The Garden of Earthly Delights',2006-06-22,
1592,Leonard Cohen I'm Your Man,PG-13,1,STEPHEN HOLDEN,'Leonard Cohen: I'm Your Man': A Documentary Song of Praise,2006-06-21,2006-07-28
1593,Nacho Libre,PG,1,MANOHLA DARGIS,A Tender Heart in Stretchy Pants and Ankle Boots in 'Nacho Libre',2006-06-16,2006-06-16
1594,Wordplay,PG,0,PHILLIP LOPATE,Crossword Puzzles and the People Who Live Them in 'Wordplay',2006-06-16,2006-07-21
1595,Uncut,,0,NATHAN LEE,"One Man, Up Close and Personal, in 'Uncut' ",2006-06-16,
1596,The Outsider,,0,JEANNETTE CATSOULIS,'The Outside': A Portrait of the Director James Toback,2006-06-16,
1597,The Mostly Unfabulous Social Life of Ethan Green,R,0,LAURA KERN,A Life Lacks Spark in 'The Mostly Unfabulous Social Life of Ethan Green',2006-06-16,
1598,Lower City,R,0,A. O. SCOTT,"In 'Lower City,' a Love Triangle With Soft Edges",2006-06-16,
1599,Loverboy,R,0,STEPHEN HOLDEN," A Motherly Love So Strong It Delights, Then Frightens, in 'Loverboy'",2006-06-16,
1600,Strayed,Not Rated,1,Stephen Holden,"Thrown Together Amid War, They Slowly Grow Together",2004-05-14,
1601,Carandiru,R,1,Stephen Holden,"Inside a Notorious Prison, Fires of Rage and Regret",2004-05-14,
1602,Breakin' All the Rules,PG-13,0,Stephen Holden,An Overnight Expert in the Game of Love,2004-05-14,2004-05-14
1603,Troy,R,0,A. O. Scott,Greeks Bearing Immortality,2004-05-14,2004-05-14
1604,A Slipping Down Life,R,0,A. O. Scott,You Can Tell She's a Fan (Just Read Her Forehead),2004-05-14,
1605,Oasis,,1,Stephen Holden,"In Two Who Aren't Normal, a Normal Need for Love",2004-05-07,2004-05-07
1606,Super Size Me,PG,0,A. O. Scott,When All Those Big Macs Bite Back,2004-05-07,2004-06-11
