,byline,headline,open_date,pick_or_not,pub_date,rating,title
5008,A. O. SCOTT,"Injustice, British and Otherwise",2011-02-04,1,2010-12-28,PG-13,Another Year
5009,RACHEL SALTZ,"Young Math Wizard Stumbles Upon Oz, Deep in the Heart of the Internet",,0,2010-12-28,,Sama Wozu
5010,NEIL GENZLINGER,"A Fake Danish Comedy Troupe Goes To North Korea, With Strange Results",2010-12-29,0,2010-12-28,,The Red Chapel
5011,A. O. SCOTT,Chronicling Love’s Fade to Black,2011-01-28,0,2010-12-28,R,Blue Valentine
5012,A. O. SCOTT,The Mob Work Is Tough; Then He Has to Go Home,2011-02-04,0,2010-12-28,R,Biutiful
5013,RACHEL SALTZ,From Bollywood: Making a Movie to Cover Up a Crime,,0,2010-12-23,,Tees Maar Khan
5014,MANOHLA DARGIS,Conjuring a Magical Relationship,2011-02-11,0,2010-12-23,PG,The Illusionist
5015,STEPHEN HOLDEN,Extremist in Monastery Is Still One Outside It,2010-12-24,0,2010-12-23,,Hadewijch
5016,A. O. SCOTT,A Gut Visible All the Way From the 18th Century,2010-12-25,0,2010-12-23,PG,Gulliver's Travels
5017,A. O. SCOTT,Fierce Tests of Endurance and the Resilience of the Spirit,2010-12-22,1,2010-12-21,Not Rated,Secret Sunshine
5018,MANOHLA DARGIS,"Wearing Braids, Seeking Revenge",2010-12-22,1,2010-12-21,PG-13,True Grit
5019,A. O. SCOTT,"The Pampered Life, Viewed From the Inside",2011-01-21,1,2010-12-21,R,Somewhere
5020,JEANNETTE CATSOULIS,"A Meditation on Captivity, Featuring an Orangutan",2010-12-24,1,2010-12-21,Not Rated,Nenette
5021,RACHEL SALTZ,A Man’s Slow Suicidal Walk to Starvation in the Forest,2010-12-24,0,2010-12-21,,The Sound of Insects
5022,MANOHLA DARGIS,Patriarch Faces Future: Who to Lead Nutty Clan When He Is Gone?,2010-12-22,0,2010-12-21,PG-13,Little Fockers
5023,MIKE HALE,Jellystone Gets Animated,2010-12-17,0,2010-12-16,PG,Yogi Bear
5024,MANOHLA DARGIS,Following in Father&#8217;s Parallel-Universe Footsteps,2010-12-17,0,2010-12-16,PG,Tron: Legacy
5025,A. O. SCOTT,Charades of Normalcy After Death of a Child,2011-01-28,0,2010-12-16,PG-13,Rabbit Hole
5026,MANOHLA DARGIS,"Disappointed in Softball, but Will She Be Disappointed in Love?",2010-12-17,0,2010-12-16,PG-13,How Do You Know
5027,A. O. SCOTT,Want a Deal on a Used Country?,2011-01-07,0,2010-12-16,R,Casino Jack
5028,JEANNETTE CATSOULIS,"In My Father&#8217;s House, That Airless, Bitter Place",2010-12-13,0,2010-12-12,,Mundane History
5029,MANOHLA DARGIS,Let a Hail of Bullets Be Your Umbrella,,1,2010-12-09,,Vengeance
5030,A. O. SCOTT,"Guys, Kiss Mom and Come Out Fighting",2010-12-17,1,2010-12-09,R,The Fighter
5031,A. O. SCOTT,Visiting an Ordinarily Unique Artist,,1,2010-12-09,Not Rated,And Everything Is Going Fine
5032,STEPHEN HOLDEN,Perils of the Corporate Ladder: It Hurts When You Fall,2011-02-11,1,2010-12-09,R,The Company Men
5033,JEANNETTE CATSOULIS,Misfit’s Life of Exaggeration,,0,2010-12-09,Not Rated,You Won't Miss Me
5034,MANOHLA DARGIS,Gallivanting Across Europe in High Heels and High Dudgeon,2010-12-10,0,2010-12-09,PG-13,The Tourist
5035,A. O. SCOTT,"Dread Rattling Thunder! Yes, It’s Shakespeare",,0,2010-12-09,PG-13,The Tempest
5036,STEPHEN HOLDEN,"In the South of France, a 1927 Ménage à Trois Takes an Incendiary Turn",,0,2010-12-09,R,Hemingway's Garden of Eden
5037,MANOHLA DARGIS,"Enchanted Realm, Aquatic View",2010-12-10,0,2010-12-09,PG,The Chronicles of Narnia: The Voyage of the Dawn Treader
5038,MIKE HALE,Bystanders to China’s Transition,2011-06-25,0,2010-12-09,,Beijing Taxi
5039,STEPHEN HOLDEN,The Hippie Serving Peace and Breakfast,0000-00-00,0,2010-12-07,,Saint Misbehavin': The Wavy Gravy Movie
5040,JEANNETTE CATSOULIS,Out of Paradise and Into the Pot: A Post-Communism Parable,,0,2010-12-07,,Rabbit à la Berlin
5041,MIKE HALE,And Baby Makes Comedy When a Princess Is Taken West,2010-12-03,0,2010-12-03,R,The Warrior's Way
5042,JEANNETTE CATSOULIS,Discovering a Sinister Santa in Finland,,1,2010-12-02,R,Rare Exports: A Christmas Tale
5043,STEPHEN HOLDEN,A Winning Smile Makes the Scamming a Breeze,2011-01-07,1,2010-12-02,R,I Love You Phillip Morris
5044,MANOHLA DARGIS,"On Point, on Top, in Pain",2010-12-17,1,2010-12-02,R,Black Swan
5045,JEANNETTE CATSOULIS,A Tale of Fevered Ambition,,0,2010-12-02,R,Queen of the Lot
5046,A. O. SCOTT,"Radical Actions of the ’60s, Reverberating in the Reflective ’70s",2010-12-03,0,2010-12-02,R,Night Catches Us
5047,JEANNETTE CATSOULIS,An Animated Space Odyssey,2010-12-03,0,2010-12-02,,Mars
5048,STEPHEN HOLDEN,"Guilt, Anxiety, Obstacles: Adultery Is Hard Work",2010-12-03,0,2010-12-02,Not Rated,Come Undone
5049,MIKE HALE,Inside the Life of a Leader,2010-11-01,0,2010-12-02,Not Rated,Bhutto
5050,A. O. SCOTT,"Maybe a Dinosaur, Just Not Purple",2011-02-18,0,2010-12-02,R,Barney's Version
5051,MANOHLA DARGIS,Assorted Acts of Betrayal Among the Moneyed and Dysfunctional,,0,2010-12-02,R,All Good Things
5052,MANOHLA DARGIS,Constructing Happiness With a Carnal Ghost,,0,2010-11-25,,Undertow
5053,JEANNETTE CATSOULIS,Latino Family Drama,2010-11-26,0,2010-11-25,,Willets Point
5054,MANOHLA DARGIS,"The King’s English, Albeit With Twisted Tongue",2010-12-25,0,2010-11-25,R,The King's Speech
5055,MIKE HALE,Charting a Friendship Through a Lifetime of Films,2010-11-26,0,2010-11-24,,Break ke Baad
5056,A. O. SCOTT,"Back to the Castle, Where It&#8217;s All About the Hair",2010-11-24,1,2010-11-23,PG,Tangled
5057,A. O. SCOTT,The Interplay of Politics and the Heart,2010-11-24,0,2010-11-23,,Kawasaki’s Rose
5058,MIKE HALE,A Dystopian Aftertaste to Those Sugarplums,,0,2010-11-23,PG,The Nutcracker in 3D
5059,A. O. SCOTT,A Young Viagra Salesman Sees Lust Turn Into Love,2010-11-24,0,2010-11-23,R,Love and Other Drugs
5060,STEPHEN HOLDEN,From Tooth Fairy to High-Speed Human Tank,2010-11-24,0,2010-11-23,R,Faster
5061,MANOHLA DARGIS,Small-Town Girl Trades Her Naïveté for Lingerie,2010-11-24,0,2010-11-23,PG-13,Burlesque
5062,JEANNETTE CATSOULIS,"Wanderer in Bewitching, Fractious Land",2010-11-22,0,2010-11-21,,Between Two Worlds
5063,JEANNETTE CATSOULIS,Tensions Between Companionship and Solitude,2010-11-19,1,2010-11-18,,Nothing Personal
5064,MANOHLA DARGIS,Hanging on for a Dear Way of Life,,1,2010-11-18,Not Rated,White Material
5065,A. O. SCOTT,Time for Young Wizards to Put Away Childish Things,2010-11-19,1,2010-11-18,PG-13,Harry Potter and the Deathly Hallows: Part 1
5066,MIKE HALE,"Food, Family and Follies",,0,2010-11-18,R,Today's Special
5067,MIKE HALE,Passion at the Piano,2010-11-22,0,2010-11-18,,Regina Spektor: Live in London
5068,A. O. SCOTT,An Everyman’s Guide to Engineering a Jail Break,2010-11-19,0,2010-11-18,PG-13,The Next Three Days
5069,STEPHEN HOLDEN,’60s Sweatshop Girls Fighting Ford,,0,2010-11-18,R,Made in Dagenham
5070,MANOHLA DARGIS,"Out of the Dark Shadows, Arty Toil and Trouble",2010-11-19,0,2010-11-18,,Heartless
5071,MIKE HALE,Sport and Grim Reality,2010-11-19,0,2010-11-18,,Total Badass
5072,STEPHEN HOLDEN,Naked Lusts and Natural Painkillers: Portrait of a Literary Outlaw,,1,2010-11-16,,William Burroughs: A Man Within
5073,MIKE HALE,For Dinner Tonight: Los Angeles,2010-11-12,0,2010-11-12,PG-13,Skyline
5074,JEANNETTE CATSOULIS,Global Warming and Common Sense,,1,2010-11-11,PG,Cool It
5075,STEPHEN HOLDEN,A New Look at the Horrors in Rwanda,,0,2010-11-11,R,Shake Hands with the Devil
5076,JEANNETTE CATSOULIS,The Life of a Contract Killer,2010-11-12,0,2010-11-11,,The Magician
5077,MIKE HALE,The Logistician of the Holocaust,2009-10-01,0,2010-11-11,,Eichmann
5078,MANOHLA DARGIS,I Think I Can: Trying to Stop a Crazy Train Hurtling to Disaster,2010-11-12,0,2010-11-11,PG-13,Unstoppable
5079,MANOHLA DARGIS,Girl Undefined: Post-College but Pre-Real World,,0,2010-11-11,Not Rated,Tiny Furniture
5080,JEANNETTE CATSOULIS,Romantic Dissatisfaction and Career Frustration,,0,2010-11-11,,Helena from the Wedding
5081,STEPHEN HOLDEN,J. R. Ewing Shot Down Communism in Estonia,2010-11-12,0,2010-11-11,,Disco & Atomic War
5082,STEPHEN HOLDEN,The (Un)Making of an Art World Satirist,2010-11-12,0,2010-11-11,,Con Artist
5083,MIKE HALE,"Captivating the Eye, Challenging the Brain",,0,2010-11-09,,Bruce Conner Films 1
5084,MANOHLA DARGIS,"Plenty of Perky, Even This Early",2010-11-10,0,2010-11-09,PG-13,Morning Glory
5085,JEANNETTE CATSOULIS,Western Meets Horror,2010-11-05,1,2010-11-04,R,Red Hill
5086,A. O. SCOTT,The Tale of a Shocking Fall and a Gritty Resolve,2011-01-28,1,2010-11-04,R,127 Hours
5087,STEPHEN HOLDEN,"Animated Ambiguity, Featuring a Big Head",2010-11-05,1,2010-11-04,PG,Megamind
5088,JEANNETTE CATSOULIS,The Blissed-Out Rhythms of the Young and in Love,2010-07-01,1,2010-11-04,,Guy and Madeline on a Park Bench
5089,A. O. SCOTT,Harebrained Plans by Half-Wits,,1,2010-11-04,R,Four Lions
5090,MANOHLA DARGIS,A Powerful Chorus Harmonizing ‘Dark Phrases of Womanhood’,2010-11-05,1,2010-11-04,R,For Colored Girls
5091,A. O. SCOTT,Marital Strife and C.I.A. Obligations,2010-12-03,1,2010-11-04,PG-13,Fair Game
5092,MIKE HALE,"Gal Takes Straighter Path, Hoping to Have It All",2010-04-24,0,2010-11-04,,Violet Tendencies
5093,STEPHEN HOLDEN,"A Stoic Marine Undone by Don’t Ask, Don’t Tell",2010-11-05,0,2010-11-04,,A Marine Story
5094,MANOHLA DARGIS,Amok on the Road to Daddydom,2010-11-05,0,2010-11-04,R,Due Date
5095,MANOHLA DARGIS,The Really Strange Bedfellows That New York Politics Made,,0,2010-11-04,R,Client 9
5096,MIKE HALE,A Freshman Year to Remember,,0,2010-11-04,R,Cherry
5097,JEANNETTE CATSOULIS,A Motel Stay Leads to Creepy Happenings,,0,2010-11-04,R,Beneath the Dark
5098,STEPHEN HOLDEN,"Algerian Brothers Reunite in Paris, Outrage Still Burning",,0,2010-11-02,Not Rated,Outside the Law
5099,MATT ZOLLER SEITZ,"Light and Shadow, and Music on the Wondrous, Dreamy Side",2010-11-03,0,2010-11-02,,Ne change rien
5100,MIKE HALE,Earthquakes and Seismic Suffering,,0,2010-10-31,,Aftershock
5101,MIKE HALE,Ending a Lethal Game and All Its Gory Details,2010-10-29,0,2010-10-29,R,Saw 3D
5102,STEPHEN HOLDEN,"From a Universe of Trash, Recycling Art and Hope",,1,2010-10-28,,Waste Land
5103,NEIL GENZLINGER,Even the Tiniest Actions Can Change Entire Lives,2010-01-01,1,2010-10-28,,A Small Act
5104,JEANNETTE CATSOULIS,"Alien Invaders, Earthling Romance",,1,2010-10-28,R,Monsters
5105,STEPHEN HOLDEN,"Brenda, Eddie, Billy and Friends Bury a Ballpark",,1,2010-10-28,,Last Play at Shea
5106,A. O. SCOTT,"From the Past, a Future Blank and Open",,1,2010-10-28,Not Rated,The Kids Grow Up
5107,A. O. SCOTT,Time to Die; Join Me for a Drink?,,0,2010-10-28,PG-13,Wild Target
5108,MANOHLA DARGIS,"A Tidy Home, Cluttered With Weighty Emotions",,0,2010-10-28,R,Welcome to the Rileys
5109,JEANNETTE CATSOULIS,Searching for Stability,,0,2010-10-28,R,Jolene
5110,A. O. SCOTT,"A Detective Who Solves Crimes for a Living, and as a Pastime",,0,2010-10-28,,Inspector Bellamy
5111,MANOHLA DARGIS,"In Trilogy’s Finale, Tough Girl Rages Against Villains of Society",2010-11-12,0,2010-10-28,R,The Girl Who Kicked the Hornet's Nest
5112,MIKE HALE,"Churchill During the War, Armed With Inspiration",,0,2010-10-28,Not Rated,Winston Churchill: Walking With Destiny
5113,STEPHEN HOLDEN,Ogled and Threatened on a Journey to Womanhood,,0,2010-10-28,Not Rated,Amer
5114,MIKE HALE,A Musician Who Imparts a Glum Kind of Grandeur,,0,2010-10-26,,Strange Powers: Stephin Merritt and the Magnetic Fields
5115,JEANNETTE CATSOULIS,Don’t Spirits Ever Knock Anymore?,2010-10-22,0,2010-10-22,R,Paranormal Activity 2
5116,NEIL GENZLINGER,Pretty Women and Plenty of Cows,,1,2010-10-21,,Milk and Money
5117,MANOHLA DARGIS,Tragic Love Tale of Spirits and Samurai,,1,2010-10-21,Not Rated,Kuroneko
5118,MANOHLA DARGIS,"Sweat, Blood and Philosophy to the Rhythms of the Sweet Science",,1,2010-10-21,Not Rated,Boxing Gym
5119,NEIL GENZLINGER,Muslims Meet Punk,2010-10-22,0,2010-10-21,,The Taqwacores
5120,MIKE HALE,Making Music With Comedy,2010-10-22,0,2010-10-21,,Punching the Clown
5121,A. O. SCOTT,"On the Streets of Lisbon, Love, Romance and Desire",2010-10-22,0,2010-10-21,,The Portuguese Nun
5122,MIKE HALE,He’s a Big Man on a Mission,,0,2010-10-21,PG-13,Knucklehead
5123,STEPHEN HOLDEN,A Life-Saving Journey to the Dark Side,,0,2010-10-21,Not Rated,Inhale
5124,ANDY WEBSTER,A Hairy Love Situation,,0,2010-10-21,,BearCity
5125,A. O. SCOTT,The Dead Have Messages for the Land of the Living,2010-10-22,1,2010-10-14,PG-13,Hereafter
5126,MANOHLA DARGIS,"The Days, Nights and Years of the Jackal: The Tale of a Terrorist",,1,2010-10-14,Not Rated,Carlos
5127,NEIL GENZLINGER,Seeking Vengeance in High Heels,2010-10-15,0,2010-10-14,,Ticked-Off Trannies With Knives
5128,NEIL GENZLINGER,"Wordless and Lost, a Young Couple Flee",,0,2010-10-14,,Samson & Delilah
5129,A. O. SCOTT,"Who Ya Callin&#8217; Gramps, Junior?",2010-10-15,0,2010-10-14,PG-13,Red
5130,MANOHLA DARGIS,"After a Death, Friendships and Secrets",2010-10-08,0,2010-10-14,,Nora's Will
5131,MANOHLA DARGIS,"Maximum Gross Outs in Sleazy, Queasy Stunts",2010-10-15,0,2010-10-14,R,Jackass 3D
5132,STEPHEN HOLDEN,The Dark Art of Drawing Political Lines,2010-10-15,0,2010-10-14,Not Rated,Gerrymandering
5133,STEPHEN HOLDEN,Trying to Sniff Out a Rat Hiding in a Toxic World,2010-10-15,0,2010-10-14,R,Down Terrace
5134,A. O. SCOTT,"Her Brother’s Keeper, No Matter the Cost",2010-11-05,0,2010-10-14,R,Conviction
5135,MIKE HALE,Romance in Brazil’s Wild West,2010-10-15,0,2010-10-14,,"Carmo, Hit the Road"
5136,PAUL BRUNICK,Hungry for Revenge,,0,2010-10-14,,Bitter Feast
5137,STEPHEN HOLDEN,A Multitasking Nun in Medieval Germany,,0,2010-10-12,Not Rated,Vision
5138,MIKE HALE,How to Make the Grim Appear Artfully Beautiful,,0,2010-10-12,,The Darkness of Day
5139,MIKE HALE,Death Reclaims His Fractured Psyche,2010-10-08,0,2010-10-08,R,My Soul to Take
5140,JEANNETTE CATSOULIS,Loose Connections That Lead to Horror,2010-10-08,1,2010-10-07,,Red White & Blue
5141,JEANNETTE CATSOULIS,Model Town as Safe Haven,2010-10-08,1,2010-10-07,,Marwencol
5142,A. O. SCOTT,"Who Maimed the Economy, and How",2010-11-12,1,2010-10-07,PG-13,Inside Job
5143,ANDY WEBSTER,"Death by Chicken Tikka, in Service of Romance",,0,2010-10-07,PG-13,It's a Wonderful Afterlife
5144,A. O. SCOTT,"More Sex, Please, We’re British Rustics",,0,2010-10-07,R,Tamara Drewe
5145,MANOHLA DARGIS,Upright Parole Officer With a Target on His Back,2010-10-22,0,2010-10-07,R,Stone
5146,JEANNETTE CATSOULIS,"An Exploitation Film, Remade",,0,2010-10-07,R,I Spit On Your Grave
5147,MANOHLA DARGIS,Putting Faith in Speed and Sinew,2010-10-08,0,2010-10-07,PG,Secretariat
5148,ANDY WEBSTER,Examining an Activist’s Death,,0,2010-10-07,,Rachel
5149,MANOHLA DARGIS,Lennon’s Teenage Years: Rocking and Roiling,2010-10-15,0,2010-10-07,R,Nowhere Boy
5150,STEPHEN HOLDEN,Finding Love Over Dirty Diapers and Sippy Cups,2010-10-08,0,2010-10-07,PG-13,Life As We Know It
5151,JEANNETTE CATSOULIS,The Ex-Con and the Priest,,0,2010-10-07,,Postia pappi Jaakobille
5152,MIKE HALE,Science Fiction for the Great Recession,2010-10-08,0,2010-10-07,,Jim
5153,NEIL GENZLINGER,"Visiting New York, Seeking Vengeance",2010-10-08,0,2010-10-07,R,As Good As Dead
5154,NEIL GENZLINGER,Preparing for Sightlessness,,0,2010-10-07,,Going Blind
5155,A. O. SCOTT,"A Coming-of-Age Tale, Set Among the Sad",2010-10-08,0,2010-10-07,PG-13,It's Kind of a Funny Story
5156,MIKE HALE,A Study in Middle East Nonviolence,2010-10-08,0,2010-10-07,Not Rated,Budrus
5157,STEPHEN HOLDEN,Misanthrope Sprouts Wings and Humanity,,1,2010-10-05,,Idiots and Angels
5158,MIKE HALE,Another Argument Against E-Mail,,0,2010-10-01,R,Chain Letter
5159,JEANNETTE CATSOULIS,"My, for a Young Killer, You’re Cute as a Button",2010-10-01,0,2010-10-01,R,Case 39
5160,A. O. SCOTT,Lonely Boy Finds Friend in Blood-Craving Pixie,2010-10-01,1,2010-09-30,R,Let Me In
5161,JEANNETTE CATSOULIS,Three Men Behaving (Really) Badly,,0,2010-09-30,R,Speed-Dating
5162,JEANNETTE CATSOULIS,Shots From the Underground,,0,2010-09-30,R,S&Man
5163,JEANNETTE CATSOULIS,Tribulations of a Gay Priest,,0,2010-09-30,R,Release
5164,MANOHLA DARGIS,Liberté in a Lover’s Embrace,,0,2010-09-30,Not Rated,Leaving
5165,ANDY WEBSTER,A Romance of Mistaken Identity,,0,2010-09-30,,Is It Just Me?
5166,MIKE HALE,Mastering Martial Arts,,0,2010-09-30,R,Ip Man
5167,MIKE HALE,Eastern Religion in an Ensemble Drama,,0,2010-09-30,R,The Hungry Ghosts
5168,NEIL GENZLINGER,Intertwining Love and Obsession,,0,2010-09-30,PG,Hot Summer Days
5169,JEANNETTE CATSOULIS,An Homage to Slasher-Movie History,,0,2010-09-30,R,Hatchet II
5170,STEPHEN HOLDEN,A Best Seller as 4 Films Tied Together With Talk,,0,2010-09-30,PG-13,Freakonomics
5171,A. O. SCOTT,"Two Brothers on the Road, and One’s Bad Company",,0,2010-09-30,,Douchebag
5172,STEPHEN HOLDEN,Students Caught in the School Squeeze,2010-10-29,1,2010-09-23,PG,Waiting for 'Superman'
5173,NEIL GENZLINGER,A Fight to Preserve Tibetan Music,2010-09-24,1,2010-09-23,Not Rated,Tibet in Song
5174,MANOHLA DARGIS,"Millions of Friends, but Not Very Popular",2010-10-01,1,2010-09-23,PG-13,The Social Network
5175,MANOHLA DARGIS,Altering Perceptions on an Astral Plane Trip,,1,2010-09-23,Not Rated,Enter the Void
5176,STEPHEN HOLDEN,It’s a Mean-Girl World: Are You Bully or Victim?,2010-09-24,0,2010-09-23,PG,You Again
5177,A. O. SCOTT,The Pride That Went Before the Fall,2010-09-24,0,2010-09-23,PG-13,Wall Street 2: Money Never Sleeps
5178,ANDY WEBSTER,Confronting Autism,,0,2010-09-23,,A Mother's Courage: Talking Back to Autism
5179,NEIL GENZLINGER,Adoption Struggles,2010-09-24,0,2010-09-23,PG-13,Like Dandelion Dust
5180,ANDY WEBSTER,Mighty Strange Birds,2010-09-24,0,2010-09-23,PG,Legend of the Guardians: The Owls of Ga'Hoole
5181,A. O. SCOTT,"Leaping Off the Page, a Beatnik’s Poetic Rant",,0,2010-09-23,R,Howl
5182,ANDY WEBSTER,A Musical by the Bay,,0,2010-09-23,,Fruit Fly
5183,STEPHEN HOLDEN,"Captive in Iraq, Stymied by Voice Mail",2010-10-15,0,2010-09-23,R,Buried
5184,A. O. SCOTT,Looking for Something When Life Signifies Nothing,2010-10-22,0,2010-09-21,R,You Will Meet a Tall Dark Stranger
5185,NEIL GENZLINGER,Edward Norton as Good-Bad Twins,2010-09-17,1,2010-09-17,R,Leaves of Grass
5186,JEANNETTE CATSOULIS,"Stalled, Shafted, Mystified",2010-09-17,0,2010-09-17,PG-13,Devil
5187,MIKE HALE,All About Deflowering,2010-09-24,0,2010-09-17,R,The Virginity Hit
5188,MIKE HALE,A Poet Who Wants a Change,2010-09-17,0,2010-09-17,Not Rated,The Happy Poet
5189,MIKE HALE,a Woman Alone on an Island,2010-09-17,0,2010-09-17,,The Anchorage
5190,MIKE HALE,Wolves in Love,2010-09-17,0,2010-09-17,PG,Alpha and Omega
5191,JEANNETTE CATSOULIS,A Take on Faith and Capitalism,,1,2010-09-16,,The Temptation of St. Tony
5192,A. O. SCOTT,Bunker Hill to Fenway: A Crook’s Freedom Trail,2010-09-17,0,2010-09-16,R,The Town
5193,ANDY WEBSTER,The H.I.V. Epidemic in Washington,2010-09-17,0,2010-09-16,,The Other City
5194,A. O. SCOTT,Learning to Swim in the Deep End of Life’s Pool,,0,2010-09-16,R,Jack Goes Boating
5195,STEPHEN HOLDEN,Loving Couple Wonder Where the Ardor Went,2010-09-17,0,2010-09-16,R,The Freebie
5196,STEPHEN HOLDEN,"Being Naughty to Be Nice, as the Rumor Mill Awaits",2010-09-17,0,2010-09-16,PG-13,Easy A
5197,A. O. SCOTT,The World Where You Aren’t What You Post,2010-10-01,0,2010-09-16,PG-13,Catfish
5198,MANOHLA DARGIS,"Growing Up in a Hush, With the Ultimate Identity Crisis",2010-10-15,0,2010-09-14,R,Never Let Me Go
5199,MIKE HALE,Behind All the Sweets There’s Lots of Stress,,0,2010-09-14,,Kings of Pastry
5200,JEANNETTE CATSOULIS,‘Resident Evil: Afterlife 3D’,2010-09-10,0,2010-09-10,R,Resident Evil: Afterlife
5201,A. O. SCOTT,Lennon’s Fave; Do You Know Him?,,0,2010-09-09,,Who Is Harry Nilsson? (And Why Is Everybody Talkin’ About Him?)
5202,STEPHEN HOLDEN,Unrequited Passion on the Cusp of 30,,0,2010-09-09,PG-13,The Romantics
5203,MIKE HALE,A Violent Homage to Genre Films,,0,2010-09-09,Not Rated,Modus Operandi
5204,NEIL GENZLINGER,A Late-Life Relationship,,0,2010-09-09,PG,"Lovely, Still"
5205,STEPHEN HOLDEN,A Sooner State Story of Better Family Unity Through Wrestling,,0,2010-09-09,PG-13,Legendary
5206,MANOHLA DARGIS,Running Away From the Circus,,0,2010-09-09,R,I'm Still Here: The Lost Year of Joaquin Phoenix
5207,MANOHLA DARGIS,"Pregnant, but Not What She Expected",2010-09-10,0,2010-09-09,,Hideaway
5208,STEPHEN HOLDEN,Professional Seducer Finally Meets His Match,,0,2010-09-09,,Heartbreaker
5209,A. O. SCOTT,"Enshrining an Extraordinary Poet of the Keyboard, Quirks and All",2010-09-10,0,2010-09-09,,Genius Within: The Inner Life of Glenn Gould
5210,STEPHEN HOLDEN,Aboriginal Teenager’s Australian Road Trip,,0,2010-09-09,PG-13,Bran Nue Dae
5211,ANDY WEBSTER,What She Saw: A Life’s Dispatches,,0,2010-09-09,Not Rated,Ahead of Time
5212,NEIL GENZLINGER,Stumbling Over Roadblocks to Love and Hope,2010-09-10,0,2010-09-08,,Honeymoons
5213,JEANNETTE CATSOULIS,A Street Hustler Becomes a Reluctant Father,2010-09-03,1,2010-09-02,,Prince of Broadway
5214,A. O. SCOTT,A Family Caught in the Wheels of China&#8217;s Industrial Locomotive,,1,2010-09-02,,Last Train Home
5215,A. O. SCOTT,Remade in China: Coen Brothers’ Tale of Infidelity and Revenge,,0,2010-09-02,R,"A Woman, A Gun And A Noodle Shop"
5216,STEPHEN HOLDEN,Redemption as a Team Sport,,0,2010-09-02,PG-13,The Winning Season
5217,NEIL GENZLINGER,White Wedding,,0,2010-09-02,Not Rated,White Wedding
5218,JEANNETTE CATSOULIS,Assaying the Norwegian Resistance,2010-09-03,0,2010-09-02,Not Rated,Max Manus
5219,MIKE HALE,A Film Within a Film,2010-09-03,0,2010-09-02,,Our Beloved Month of August
5220,STEPHEN HOLDEN,"Growl, and Let the Severed Heads Fall Where They May",2010-09-03,0,2010-09-02,R,Machete
5221,A. O. SCOTT,Nothing Keeps Them Apart Except a Continent,2010-09-03,0,2010-09-02,R,Going the Distance
5222,JEANNETTE CATSOULIS,Rodent Road Trip and Human Bonds,2010-09-03,0,2010-09-02,,Etienne!
5223,STEPHEN HOLDEN,A Tender Love Story Between Man and Dog,,1,2010-08-31,,My Dog Tulip
5224,A. O. SCOTT,Traveling Man With Few Words and a Big Gun,2010-09-01,0,2010-08-31,R,The American
5225,RACHEL SALTZ,"Handsome Guy Is Dying, but He Can Afford Care",2010-08-27,0,2010-08-29,,Aashayein
5226,MIKE HALE,Forever Stoked for More Tasty Waves,,0,2010-08-27,,Highwater
5227,STEPHEN HOLDEN,Drunk on His Own Notoriety,,1,2010-08-26,R,Mesrine: Killer Instinct
5228,JEANNETTE CATSOULIS,A Teenage Zombie Crush,,1,2010-08-26,Not Rated,Make-Out with Violence
5229,JEANNETTE CATSOULIS,Loosening the Devil’s Grip in Louisiana,2010-08-27,1,2010-08-26,PG-13,The Last Exorcism
5230,A. O. SCOTT,"Taking a Long, Cool Look at Both Sides of the Law",2010-08-27,0,2010-08-26,PG-13,Takers
5231,JEANNETTE CATSOULIS,A Trauma in Peru,,0,2010-08-26,,The Milk of Sorrow
5232,STEPHEN HOLDEN,"Young Love, Back When It Was Sweet and Innocent",2010-09-10,0,2010-08-26,PG,Flipped
5233,JEANNETTE CATSOULIS,"Siblings in Mexico City, Criminally Exploited",2010-08-27,0,2010-08-26,,Daniel and Ana
5234,A. O. SCOTT,All Kiss-and-Tell and Wink-and-Nod at a Crowded Dinner Party,2011-01-08,0,2010-08-26,,Change of Plans
5235,STEPHEN HOLDEN,Two Vastly Different Enemies Share a Common Thirst for Blood,,0,2010-08-26,R,Centurion
5236,NEIL GENZLINGER,Fleeing Mideast Dictator’s Unscheduled Stop,,0,2010-08-26,,"Baghdad, Texas"
5237,A. O. SCOTT,The Fish Are Really Biting Those Women in Bikinis,2010-08-20,0,2010-08-22,R,Piranha 3-D
5238,STEPHEN HOLDEN,When Heroism Means Finding Truth,,1,2010-08-19,R,The Tillman Story
5239,STEPHEN HOLDEN,"One Restaurant’s History, Spiked Desserts and All",,1,2010-08-19,,Soul Kitchen
5240,STEPHEN HOLDEN,"Outsiders in French Society, Battling Occupiers and Collaborators",2010-08-20,1,2010-08-19,,The Army of Crime
5241,STEPHEN HOLDEN,"In a Baste and Switch, a New Father Is Born",2010-08-20,0,2010-08-19,PG-13,The Switch
5242,MIKE HALE,"Supercalifragi — Oops, Wrong Nanny",2010-08-20,0,2010-08-19,PG,Nanny McPhee Returns
5243,NEIL GENZLINGER,A Nurse as Dominatrix,2010-08-20,0,2010-08-19,,Modern Love is Automatic
5244,MIKE HALE,"New to America, Discovering Its Glitter",2010-10-01,0,2010-08-19,PG,Mao's Last Dancer
5245,STEPHEN HOLDEN,"Exposed Wounds, and a Family Wielding Salt",2010-08-20,0,2010-08-19,Not Rated,"Non ma fille, tu n'iras pas danser"
